Row.names	Number of input reads	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Annotated	Number of splices: Non-canonical	% of reads mapped to multiple loci	% of reads unmapped: other	% of reads unmapped: too short	Assigned	Unassigned_NoFeatures	Unassigned_MultiMapping	miRNAs	tRNAs	rRNAs	Percentage_Assigned	Percentage_Spliced	Percentage_rRNA	Highest_genes	Highest_gene_count	extract_id.x	sequence_id	label	label2	Number of input reads_DNA_DNA	Uniquely mapped reads number_DNA_DNA	Uniquely mapped reads %_DNA_DNA	Average mapped length_DNA_DNA	Number of splices: Annotated_DNA_DNA	Number of splices: Non-canonical_DNA_DNA	% of reads mapped to multiple loci_DNA_DNA	% of reads unmapped: other_DNA_DNA	% of reads unmapped: too short_DNA_DNA	Assigned_DNA_DNA	Unassigned_NoFeatures_DNA_DNA	Unassigned_MultiMapping_DNA_DNA	rRNAs_DNA_DNA	Percentage_Assigned_DNA_DNA	Percentage_Spliced_DNA_DNA	Percentage_rRNA_DNA_DNA	extract_id_DNA	extract_id.y
El Nino_Anus	12149383	108729	0.89%	75.54	4049	3	8.85%	40.81%	49.30%	28359	80370	7951138	2	778	1877	26.08	14.28	6.61871010966536	FCGBP,MUC12,MT-CO1,CEACAM5,MUC3A,CKB,AHNAK,PIGR,MUC2,PDCD4	1140,989,825,508,452,399,390,383,381,346	E3054	286410	2c_swab_ANUS	El Nino_Anus	13757798	468125	3.40%	81.57	76	0	0.24%	42.91%	53.40%	36890	431235	118916	568	7.88	0.21	1.53971265925725	E3054	E3054
El Nino_Anus_1_a	108841221	330640	0.30%	290.89	27738	25	1.92%	75.41%	22.34%	139871	520330	26251536	43	6147	9468	42.3	19.83	6.76909437982141	FCGBP,MUC12,MT-CO1,CEACAM5,MUC3A,AHNAK,PDCD4,PIGR,BEST1,FTH1	1042,886,736,437,352,320,319,296,273,270	E3054	368901	2c_swab_ANUS	El Nino_Anus_1_a	25176158	269882	1.07%	300.41	121	0	0.07%	43.13%	55.72%	43986	495567	114821	238	16.3	0.28	0.541081253125995	E3054	E3054
El Nino_Arm	10200305	52985	0.52%	44.79	24	0	4.54%	3.68%	91.03%	1375	51610	3578790	5	1180	23	2.6	1.75	1.67272727272727	RPS5,EEF1A2,GRHL1,KRTAP4-7,CACUL1,KRTAP4-12,UBC,ACTA1,YWHAG,CHAC1	23,23,17,10,9,9,8,7,7,7	E2863	286403	2d_skinbag_ARM	El Nino_Arm	14900041	11287193	75.75%	73.15	546	3	6.25%	6.95%	9.44%	888817	10398376	3483880	1342	7.87	0.06	0.150987211090697	E2863	E2863
El Nino_Ear_1	3113956	536	0.02%	64.76	3	0	0.17%	2.92%	96.89%	91	445	39797	0	0	35	16.98	3.3	38.4615384615385	TCP10L,PSEN1,NR3C2,EGLN3,CALM1,SPRR5,KIF3C,C3orf52,HTT,UBE2D3	10,5,4,3,3,2,2,2,2,2	E3056	286412	2b_swab_EAR	El Nino_Ear_1	13600336	9056887	66.59%	77.84	467	3	5.40%	12.14%	14.55%	685685	8371202	2722727	414	7.57	0.07	0.0603775786257538	E3056	E3056
El Nino_Ear_2	9752366	33363	0.34%	61.68	626	1	5.65%	3.54%	90.34%	6538	26825	4009070	2	951	589	19.6	9.57	9.00887121443867	FLG,LORICRIN,NAMPT,KRT2,KRT10,SOD2,ZFP36,PFKFB3,FTH1,BEST1	124,76,49,36,34,33,33,31,30,27	E3055	286411	2e_swab_EAR	El Nino_Ear_2	13675517	10098635	73.84%	81.05	525	2	5.26%	9.28%	10.42%	747497	9351138	2628019	841	7.4	0.07	0.112508812744399	E3055	E3055
El Nino_Foot	11739891	23131	0.20%	43.40	7	0	1.75%	2.75%	95.21%	604	22527	1580199	2	883	9	2.61	1.16	1.49006622516556	EEF1A2,LORICRIN,HSPA2,RPL10A,ACTA2,ACBD4,H4C9,UBB,GSDMA,KANK1	13,8,6,5,5,5,4,4,4,3	E2859	286399	2F_SKIN_FOOTH	El Nino_Foot	14912924	9281528	62.24%	82.14	525	3	4.63%	16.50%	15.59%	694292	8587236	2523416	625	7.48	0.08	0.090019761137965	E2859	E2859
El Nino_Hair_1	5540986	32962	0.59%	55.72	271	0	5.93%	24.70%	68.58%	2656	30306	2504411	2	1196	85	8.06	10.2	3.20030120481928	PSAPL1,PTGFRN,DCTN4,OGT,ITGAX,MSN,HECTD1,PFKFB2,SOD2,SGK1	98,94,81,77,76,61,59,53,52,46	E3053	286409	2A_hair_HAIR	El Nino_Hair_1	1332968	837342	62.82%	63.25	48	1	9.71%	12.20%	12.03%	93309	744033	551033	1141	11.14	0.05	1.22281880633165	E3053	E3053
La Doncella_Arm	7064384	66960	0.95%	67.29	3003	1	46.32%	2.52%	49.22%	33570	33390	25038041	11	1436	5664	50.13	8.95	16.8722073279714	FLG,KRT10,LORICRIN,KRT1,FLG2,DMKN,WDR74,CALML5,DSP,CASP14	1479,301,297,270,203,120,110,103,97,94	E2860	286400	3F_SKIN_ARM	La Doncella_Arm	13050742	2808525	21.52%	69.89	226	1	2.22%	23.24%	52.47%	204069	2604456	1102545	488	7.27	0.11	0.239134802444271	E2860	E2860
La Doncella_Arm_a	53719	5	0.01%	281.60	0	0	0.04%	97.32%	2.63%	0	10	230	0	0	0	0	NaN	NaN	OR4F5,OR4F29,OR4F16,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,HES4,ISG15	0,0,0,0,0,0,0,0,0,0	E2860	368900	3F_SKIN_ARM	La Doncella_Arm_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
La Doncella_Foot	6909588	42030	0.61%	46.86	129	0	5.98%	5.67%	87.49%	2444	39586	3192977	2	1180	68	5.81	5.28	2.7823240589198	EEF1A2,HSPA2,ZFP36,CSF3R,NAMPT,PFKFB3,ACTG1,DUSP1,WDR74,TNFAIP3	25,18,16,14,13,13,13,12,12,11	E2872	286408	3a_swab_FOOT	La Doncella_Foot	13945866	3375862	24.21%	75.09	279	0	1.89%	26.41%	47.08%	258208	3117654	982379	209	7.65	0.11	0.0809424959722394	E2872	E2872
La Doncella_Knee	27383239	35778	0.13%	41.56	12	0	1.10%	3.15%	95.55%	1093	34685	2365576	3	2693	8	3.05	1.1	0.731930466605673	ACTA2,TEX101,EEF1A2,LSM5,ASGR2,ACTA1,MAP1LC3B,LORICRIN,HLA-F,RPL10A	13,7,7,6,6,5,5,4,4,4	E2864	286404	3d_skinbag_KNEE	La Doncella_Knee	11305822	6572350	58.13%	71.99	291	3	4.70%	12.96%	23.08%	475287	6097063	1957587	739	7.23	0.06	0.155485001693713	E2864	E2864
La Doncella_Knee_a	2639	3	0.11%	244.33	0	0	0.08%	92.65%	7.16%	0	5	26	0	0	0	0	NaN	NaN	OR4F5,OR4F29,OR4F16,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,HES4,ISG15	0,0,0,0,0,0,0,0,0,0	E2864	368902	3d_skinbag_KNEE	La Doncella_Knee_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
La Doncella_Mouth_2	10686760	10191	0.10%	46.10	31	0	0.70%	1.61%	97.55%	654	9537	561968	1	743	91	6.42	4.74	13.914373088685	FLG,FLG2,PER1,FLNB,ATOSA,KPRP,CAMK2G,EXPH5,LRP10,ACTG1	66,22,13,11,10,9,9,7,7,6	E2861	286401	3G_SKIN_MOUTH	La Doncella_Mouth_2	20123020	16748983	83.23%	86.28	859	4	5.70%	5.24%	4.77%	1185389	15563594	4045347	770	7.08	0.07	0.0649575793262802	E2861	E2861
La Doncella_Toe	11122165	22531	0.20%	42.37	3	0	1.65%	2.09%	95.95%	621	21910	1420612	0	1148	9	2.76	0.48	1.44927536231884	EEF1A2,CNPPD1,RETREG2,GJB2,MT-ND5,ASPRV1,HSPA8,MT-ND4,FLG,RPL10A	25,6,6,6,6,5,5,5,4,4	E2862	286402	3h_Skineppi 3H_TOE	La Doncella_Toe	11144709	4688487	42.07%	81.30	271	0	6.17%	25.60%	24.46%	336393	4352094	2595883	1539	7.17	0.08	0.457500601974476	E2862	E2862
NC	10413505	996	0.01%	56.72	0	0	0.07%	3.25%	96.67%	26	970	53282	0	30	0	2.61	0	0	UBE3A,YIPF1,ATP1B1,MYO7B,POLQ,TPT1,MNT,TIMP2,ALPK2,OR4F5	6,1,1,1,1,1,1,1,1,0	NC	286414	NC	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NinaDelRayo_Anus	13033047	25643	0.20%	48.44	84	0	2.56%	4.44%	92.70%	1712	23931	2595994	2	937	252	6.68	4.91	14.7196261682243	CNFN,S100A7,EEF1A2,LCE1D,S100A8,H2BC14,KRT17,BNIP3L,ACP7,SPRR2F	25,21,16,13,13,12,12,10,10,9	E3057	286413	1h_swab_ANUS	NinaDelRayo_Anus	19114221	13872533	72.58%	58.31	133	0	6.82%	9.19%	8.68%	796061	13076472	5113829	2936	5.74	0.02	0.368815957571091	E3057	E3057
NinaDelRayo_Arm	17117436	23391	0.14%	41.08	29	1	1.36%	2.96%	95.46%	776	22615	1826830	0	861	26	3.32	3.74	3.35051546391753	TTN,RALGAPA2,RPS5,EEF1A2,COL17A1,KRT1,KRT5,AHNAK2,RPL4,KRT10	14,8,7,7,6,6,5,5,5,5	E2857	286397	1B_SKIN_ARM	NinaDelRayo_Arm	16672249	5124707	30.74%	76.40	307	0	2.37%	27.24%	39.07%	366021	4758686	1518348	398	7.14	0.08	0.108736930394704	E2857	E2857
NinaDelRayo_Ear	9971738	20299	0.20%	45.15	107	0	2.91%	3.72%	93.00%	2089	18210	2283363	0	1111	172	10.29	5.12	8.23360459550024	BEST1,CXCL8,CNFN,KRT13,EEF1A2,FTH1,NAMPT,SAT1,PLEK,ACTB	20,18,17,16,14,13,12,11,10,10	E2866	286406	1f_swab_EAR	NinaDelRayo_Ear	16839456	595806	3.54%	78.84	175	1	0.49%	34.01%	61.82%	46156	549650	363523	62	7.75	0.38	0.134327064736979	E2866	E2866
NinaDelRayo_Mouth	8207318	5902	0.07%	45.50	24	0	0.76%	2.01%	97.11%	408	5494	478343	1	307	12	6.91	5.88	2.94117647058824	FLG,LORICRIN,ASPRV1,CALML5,ECM1,ARHGAP30,KRT2,KCNC2,EIF4A1,FLG2	19,7,6,5,4,4,4,4,4,3	E2865	286405	1d_swab_MOUTH	NinaDelRayo_Mouth	8066892	5074049	62.90%	85.12	283	3	9.67%	13.38%	10.67%	315780	4758269	3108561	349	6.22	0.09	0.110519982266135	E2865	E2865
NinaDelRayo_Neck	4784102	29164	0.61%	50.52	472	0	16.84%	9.53%	72.73%	9910	19254	6185863	15	1314	667	33.98	4.76	6.7305751765893	LORICRIN,FLG,KPRP,KRT2,LCE1C,ASPRV1,KPLCE,KRT1,CALML5,LCE1B	979,360,139,124,111,85,84,77,75,73	E2858	286398	1C_SKIN_NECK	NinaDelRayo_Neck	16527471	14026676	84.87%	89.26	664	3	5.39%	4.42%	4.11%	975648	13051028	3261604	1262	6.96	0.07	0.129349929482764	E2858	E2858
NinaDelRayo_Nose	9806709	41559	0.42%	41.39	15	0	4.08%	2.40%	92.90%	822	40737	3131739	3	1262	0	1.98	1.82	0	EEF1A2,ACTG1,ACTA2,HSPA2,MAP1LC3B,RPS5,LPIN1,WDR74,ACO2,HES4	38,13,12,12,10,9,8,7,6,5	E2867	286407	1g_swab_NOSE	NinaDelRayo_Nose	12288907	6157575	50.11%	80.71	374	2	8.77%	17.15%	20.70%	406211	5751364	4326742	1527	6.6	0.09	0.375913010725953	E2867	E2867
