	NinaDelRayo_Neck	La Doncella_Arm	El Nino_Arm	La Doncella_Knee	NinaDelRayo_Ear	La Doncella_Foot	El Nino_Hair_1	El Nino_Anus	El Nino_Ear_2	NinaDelRayo_Anus
Whole Blood	0.116074511214975	0.399361051677847	0.0436974483111772	0.0433889951933019	0.150149164000724	0.138022383385771	0.0318010801692015	0.473815322442289	0.216729063735554	0.043399410314087
Brain - Frontal Cortex (BA9)	0.0995215200355914	0.362678848807495	0.0343083733412681	0.0401515270659797	0.0891232465688072	0.0769433567249551	0.0285210282960058	0.390145841105574	0.139307458517224	0.0301084721098529
Brain - Anterior cingulate cortex (BA24)	0.0980240950504693	0.360780330406423	0.0340386697082553	0.0401165825488058	0.0886230152662493	0.0759006724092311	0.0281039210077594	0.388886929270814	0.138232825368102	0.0291848554264795
Brain - Caudate (basal ganglia)	0.100063864940725	0.368025440736811	0.034415693947575	0.0411334098613158	0.0945198332151188	0.0813487532089846	0.0302268675030073	0.401560713573311	0.143763507426993	0.0314978055809277
Brain - Nucleus accumbens (basal ganglia)	0.0973248790198578	0.362704474037121	0.0336208030868862	0.0405130410399837	0.0901651054835483	0.0776720475704922	0.0288279467935311	0.394172261231415	0.139376033643735	0.0305018989619023
Brain - Putamen (basal ganglia)	0.100789536221119	0.367093191117087	0.0344920163410004	0.0412774411606263	0.0941522849789072	0.0820358132958757	0.0305601450218601	0.400507708300222	0.143746881821621	0.0317477168239956
Muscle - Skeletal	0.104680269459797	0.395028166533362	0.0406625703329132	0.040540312847064	0.106102020462661	0.0972847312611534	0.0334898342550616	0.438789332184606	0.159095725029593	0.0362746022694051
Artery - Tibial	0.10591793916667	0.393482652972413	0.0395184280550678	0.0445080301223435	0.110697654402371	0.098855968378759	0.0289773578857303	0.451566744878788	0.165329443705071	0.0314831187431787
Skin - Not Sun Exposed (Suprapubic)	0.16625019907503	0.500322317821649	0.0443137001141051	0.0471861801432227	0.123004711205152	0.117061116913688	0.0397566018886341	0.486831412222115	0.208010113303375	0.0621578234127392
Minor Salivary Gland	0.131161652907046	0.447767876910241	0.0421085263716965	0.0416420538819016	0.125161593228596	0.111026961608613	0.0364334484739286	0.504313451195415	0.190496945803192	0.0485952239652999
Cells - EBV-transformed lymphocytes	0.0992935314029203	0.384182311246599	0.0381367012091726	0.0403807486658515	0.119218515047918	0.107101258913096	0.0251452699729454	0.46165473818126	0.17431346879706	0.0364543458329439
Adrenal Gland	0.106770423047592	0.397531935272959	0.0401570445220657	0.0419234187728612	0.113781482643953	0.100079609320514	0.0323262626738635	0.458946833577782	0.16615601776824	0.0335170490254553
Thyroid	0.112746727145218	0.410832160085651	0.0333954598589976	0.0382476467069767	0.11370422260668	0.0995042805219055	0.0307493618025814	0.477426727673506	0.171651632507333	0.034327401949565
Lung	0.118885926264391	0.419824651501785	0.0410526337842609	0.0432884580960097	0.133962430981937	0.118238917518505	0.0344862591714574	0.494881357392372	0.19645253096987	0.0382566405860665
Spleen	0.107289697376248	0.392109505974424	0.0382535998103715	0.0412090421363767	0.132743142397597	0.118978673585066	0.0298197720092162	0.479731895371372	0.191823981644355	0.0343112957701715
Pancreas	0.116176173323351	0.416818488128405	0.0373077972973543	0.0413881694704659	0.111776515328592	0.100072849885623	0.0326123797594002	0.485294150920664	0.171541595393653	0.0399685399652293
Esophagus - Muscularis	0.106744883162952	0.397539415220506	0.0382422823864572	0.0442623402530822	0.108915232729951	0.100665625343349	0.0308855961834453	0.458407229794092	0.165365650045378	0.0348665708469798
Esophagus - Mucosa	0.148051299186898	0.481946462376163	0.0435687413740469	0.0447846445157702	0.127013998390626	0.117067016202437	0.038254575284184	0.495936539196138	0.200427487624593	0.06196929203532
Esophagus - Gastroesophageal Junction	0.106727128759762	0.397143301038075	0.0379135725559145	0.043973265517154	0.108513330609818	0.10081999233988	0.0303587368901274	0.458300205863327	0.165086256097541	0.0340220392600185
Stomach	0.117152349213439	0.419750569758727	0.0387971427204298	0.0440835704459737	0.118599820201415	0.1088849767276	0.0342328393111419	0.498864607240492	0.179570343699735	0.038568431274594
Adipose - Visceral (Omentum)	0.112208386704347	0.405485731773593	0.0412759180497352	0.042668027709961	0.126151281289707	0.111875827441978	0.0325789093326422	0.467765746894075	0.186771159249779	0.0370129916105957
Colon - Sigmoid	0.106436049544199	0.399089552655046	0.0377202474076273	0.043080188700156	0.109534676814133	0.0997869369171441	0.0310589290047808	0.474342577183443	0.166992658055133	0.0342100493781875
Small Intestine - Terminal Ileum	0.114283085937853	0.415665141731798	0.0366432458530447	0.041924483683511	0.121591294205522	0.108838974606348	0.0319623917976479	0.531199039086945	0.182204668704079	0.0365579993806898
Colon - Transverse	0.11559784331505	0.420423270482331	0.0373058431947213	0.0426811420745465	0.116605282103465	0.105951686705598	0.0326809132708795	0.534281080155968	0.178102413255956	0.0384926808855566
Adipose - Subcutaneous	0.109214312634836	0.40047018129864	0.0388823855832513	0.041505584336466	0.118005823073136	0.10537281128984	0.0293148249756417	0.465719178574829	0.176495917357882	0.0325937867015423
Brain - Cerebellar Hemisphere	0.0994548255328157	0.371845449862818	0.0314900836644352	0.0376753511254973	0.0831253805524357	0.0740701006771977	0.0256460859815181	0.404429248858421	0.137331172300065	0.0278590648596892
Brain - Substantia nigra	0.101115667277113	0.37288444325359	0.0368395305810645	0.0423660124409315	0.0999906468081486	0.0875926347146194	0.0312492011498922	0.412816425400183	0.14988642401547	0.0320365258825033
Brain - Hypothalamus	0.0980064203533642	0.365043713422474	0.0337544336347149	0.0410689305693946	0.0937004154095922	0.0810154709192722	0.0293553271064933	0.399498839982666	0.143016369508163	0.0301198875735815
Skin - Sun Exposed (Lower leg)	0.167886200346089	0.499238532863189	0.0435753140479338	0.0472747404187485	0.121728334958591	0.115883943423554	0.0390732910211498	0.483311957754725	0.206912821489546	0.0624548520959026
Nerve - Tibial	0.106760186519908	0.397243086546071	0.0353405508029051	0.0402313412235913	0.111247419301014	0.0969709045501081	0.0294326482381869	0.458030391636374	0.167218160717587	0.0308558086345138
Heart - Atrial Appendage	0.106224061867053	0.393078661479155	0.0393531447216656	0.0437893788404954	0.111332570423045	0.100082789297675	0.0316424017427091	0.449027665615616	0.16756655061666	0.0353391928141906
Brain - Cerebellum	0.101963337115163	0.376359656287095	0.0317873709399083	0.0379663532413374	0.0847251135719939	0.0754975003884817	0.0264334773838974	0.410230208825927	0.140270771782082	0.0286612407392487
Cells - Cultured fibroblasts	0.107969229633908	0.39740831516301	0.0354642750698348	0.0382473417155167	0.105398584913115	0.0901089997468966	0.0265724757294777	0.439164959163914	0.157052971581976	0.0363021209857059
Heart - Left Ventricle	0.103990780401562	0.390132490249059	0.0381624716441664	0.0418986430196418	0.106294962650872	0.0959787283325414	0.0312617176168344	0.445388335627893	0.161128035796877	0.0347243610714262
Artery - Aorta	0.107593423672594	0.396499507161535	0.0399181338395584	0.0448981988397426	0.116015128732645	0.103628442207793	0.0306358141951114	0.458023011134875	0.172010231686557	0.0329021794497667
Breast - Mammary Tissue	0.117876137170146	0.417838650600081	0.0394147087549269	0.0412716758331091	0.119158464156267	0.10465857632668	0.031022821108379	0.479455236479527	0.180471747541016	0.0367129286802518
Artery - Coronary	0.106452750913985	0.395601904737958	0.0396364260065398	0.0450736671470663	0.116470900940113	0.104119256330486	0.0301088711483108	0.460254288276283	0.172278744354645	0.0327226125080574
Brain - Amygdala	0.0986596619715963	0.365201229112594	0.0350815596122923	0.0411948561215836	0.0941224348641833	0.0803338212209791	0.0289082976029348	0.397695053031777	0.142944744925312	0.0306298564579392
Brain - Spinal cord (cervical c-1)	0.101351235427589	0.376752875219362	0.0368312260484168	0.042342239104731	0.102190644882383	0.0906848476159911	0.0317721877436741	0.422406242422385	0.154038035182143	0.0324365874248742
Pituitary	0.106114318054532	0.396358292677557	0.0341948279404596	0.0385768635209195	0.105944782675565	0.0906670272092125	0.0296511819640958	0.448193335121089	0.158505020327267	0.0332975085014886
Brain - Hippocampus	0.100677194610002	0.368017614273359	0.0348978021466286	0.0414607242731441	0.0951670653476922	0.0824342824395673	0.0300771481831205	0.402066944685965	0.143938152407907	0.030693536999684
Brain - Cortex	0.102320103996715	0.367506006764426	0.0348120287979424	0.0414166235224396	0.0904676970977594	0.078500341258335	0.0295483357252726	0.395578513199939	0.141907333388191	0.0306470170001688
Ovary	0.10373717933674	0.395259665375645	0.0359006973833452	0.0402666402880407	0.110259055475846	0.0944914951751476	0.0290949918259563	0.458705010602533	0.16246445084097	0.0308842308474029
Uterus	0.103610359655221	0.396133630321438	0.0365096765019472	0.0410569764636712	0.108560978076833	0.0957761724206661	0.0296807292731653	0.460084782085061	0.162031236994877	0.029678890525361
Vagina	0.142323111751681	0.468401118873427	0.04297923094616	0.0435116691001301	0.127536007225013	0.115332205048522	0.0363697236589967	0.493278696137133	0.196847046811103	0.055480049647638
Liver	0.107920088839943	0.396932817177627	0.0372443486737963	0.0429824122741162	0.115285792354446	0.103402306987342	0.0284732997901807	0.472422700152029	0.173089043237006	0.0399368276610549
Prostate	0.120106640104657	0.422737307169742	0.0397325097580988	0.0414476661880559	0.118391988265134	0.102209977941585	0.0320664055258802	0.488138250346538	0.178317994621273	0.0369932837754507
Testis	0.104326680859868	0.378465961529201	0.0387098528611528	0.0382696062226159	0.0933170598088355	0.0800701310007006	0.0321041263086931	0.413511093883737	0.14167705382542	0.0312091752168914
Kidney - Cortex	0.117040403088068	0.408839685764212	0.0371617282619283	0.0393244448462933	0.116243902596663	0.101633753025707	0.0296428828705308	0.481044244700834	0.173792339735221	0.0379455008024494
Bladder	0.116430158001377	0.420107224910494	0.0395280605009622	0.0434047486251043	0.117296378322304	0.10392378447935	0.030963946791178	0.486023474420234	0.176599300336718	0.0353165498901202
Cervix - Endocervix	0.106783889345459	0.400762083902693	0.0355143653901945	0.0394691867012789	0.110148471156615	0.0960415346781654	0.0296789687218023	0.468680932810538	0.164143353271159	0.030995653827069
Cervix - Ectocervix	0.139116184513019	0.461728419578605	0.0411569115466815	0.0422942519222506	0.127140611804231	0.114039690956885	0.0354273026975598	0.49060781676093	0.194370948628912	0.0531918080556735
Fallopian Tube	0.106640581546727	0.402154567912919	0.036559830057721	0.0405114388132625	0.116953856715851	0.101557571391887	0.0320891778659681	0.465983575853089	0.171035022180285	0.0323964211742871
