Label	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
BP for La Doncella skin	BP	GO:0008544	epidermis development	70	0.511971671694207	2.48414698121226	0.0000000242764532657262	0.0000173819405382599	0.0000173819405382599	191	tags=50%, list=24%, signal=42%	FLG/KRT10/LORICRIN/KRT1/FLG2/CALML5/DSP/CASP14/PPL/S100A7/SPINK5/CDSN/PKP1/CNFN/KRTDAP/DSC1/LCE1C/KLK7/KRT80/EVPL/KRT2/TGM1/PKP3/LCE1D/ALOX12B/LCE1F/PLEC/KLK5/CLDN4/ABCA12/AQP3/ATP2A2/IVL/NUMA1/SULT2B1	0.73376198835648
BP for La Doncella skin	BP	GO:0043588	skin development	60	0.523323592714954	2.44267631776942	0.000000107709199791855	0.0000514131913673122	0.0000514131913673122	188	tags=53%, list=23%, signal=44%	FLG/KRT10/LORICRIN/KRT1/FLG2/DSP/CASP14/PPL/S100A7/ASPRV1/SPINK5/CDSN/PKP1/CNFN/DSC1/LCE1C/KRT80/EVPL/KRT2/TGM1/DHCR24/PKP3/LCE1D/ALOX12B/LCE1F/PLEC/KLK5/CLDN4/ABCA12/AQP3/IVL/NUMA1	0.704975715167238
BP for La Doncella skin	BP	GO:0030216	keratinocyte differentiation	43	0.565934855875018	2.48953775332263	0.00000125683176835851	0.000263372702908035	0.000263372702908035	188	tags=56%, list=23%, signal=45%	FLG/KRT10/LORICRIN/KRT1/DSP/CASP14/PPL/S100A7/CDSN/PKP1/CNFN/LCE1C/KRT80/EVPL/KRT2/TGM1/LCE1D/LCE1F/PLEC/KLK5/ABCA12/AQP3/IVL/NUMA1	0.643551836150722
BP for La Doncella skin	BP	GO:0045103	intermediate filament-based process	18	0.622396360962445	2.15810791330873	0.000395406775687621	0.0188740834261558	0.0188740834261558	87	tags=56%, list=11%, signal=51%	KRT10/KRT1/DSP/PPL/MACF1/PKP1/KRT80/EVPL/KRT2/CSNK1A1	0.49849310876659
BP for La Doncella skin	BP	GO:0045104	intermediate filament cytoskeleton organization	18	0.622396360962445	2.15810791330873	0.000395406775687621	0.0188740834261558	0.0188740834261558	87	tags=56%, list=11%, signal=51%	KRT10/KRT1/DSP/PPL/MACF1/PKP1/KRT80/EVPL/KRT2/CSNK1A1	0.49849310876659
BP for La Doncella skin	BP	GO:0098609	cell-cell adhesion	64	0.404787325597438	1.94830983903009	0.000629424078351527	0.0290753316193351	0.0290753316193351	230	tags=55%, list=28%, signal=43%	DSP/JUP/PERP/CDSN/PKP1/DSG1/S100A9/DSC1/ACTB/PIEZO1/CELSR2/NECTIN1/NECTIN4/AFDN/PKP3/KIFC3/HSPB1/ARG1/FCHO1/ACTG1/CLDN4/FLNA/S100A8/ABCA12/MINK1/WNK1/CTNND1/DSC3/STK10/EZR/ZMIZ1/CSK/IL1RN/TRIM29/PLXNB2	0.477270815362862
BP for La Doncella skin	BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	10	0.723543635962223	2.0854356227799	0.00103961121574198	0.04135342391507	0.04135342391507	76	tags=60%, list=9%, signal=55%	MT-CO1/MT-ND4/MT-ND1/MT-ND5/MT-CO2/MT-ND2	0.45505986738723
CC for La Doncella skin	CC	GO:0001533	cornified envelope	31	0.75815708745018	3.11946232788197	0.0000000001	0.0000001432	0.0000001432	185	tags=87%, list=23%, signal=70%	FLG/KRT10/LORICRIN/KRT1/FLG2/DSP/CASP14/PPL/JUP/NCL/CDSN/PKP1/DSG1/CNFN/DSC1/KLK7/EVPL/KRT2/TGM1/PKP3/SERPINB12/LCE1D/HSPB1/CST6/KLK6/DSC3/IVL	NA
CC for La Doncella skin	CC	GO:0005576	extracellular region	269	0.330980794481054	1.98096593624869	0.00000032300249166834	0.000115634892017266	0.000115634892017266	263	tags=45%, list=33%, signal=45%	KRT10/KRT1/FLG2/DMKN/CALML5/DSP/PPL/EIF4A1/SBSN/AHNAK/JUP/RPL4/KPRP/S100A7/LYPD3/NCL/RPL3/TTN/SPINK5/NCCRP1/CDSN/KRTDAP/S100A9/DSC1/AZGP1/FASN/SLC37A2/ACTB/NEB/TACSTD2/BLMH/DYNC1H1/KLK7/RPS8/RACK1/EPS8L1/SMPD3/EVPL/NECTIN1/CTSD/KRT2/TGM1/CPA4/ERBB3/SDC1/NECTIN4/IDE/RPL5/TPT1/PABPC1/SERPINB12/METRNL/CALML3/KIFC3/EPHB6/GOLGA4/HSPA8/HSPB1/NOTCH2/FURIN/KLK10/ARG1/DNM2/PLEC/RPS2/KLK5/EPN3/PTGS1/HUWE1/ACTG1/CST6/EEF2/FLNA/GLUL/P4HB/CTSA/KLK6/S100A8/VAT1/MINK1/ATP6V1C2/CTNND1/DSC3/GPI/IVL/LDHA/NOTCH3/NUMA1/RPS3/STK10/SULT2B1/EZR/NDRG1/ARHGEF12/CSK/EEF1A1/GSN/IL1RN/SLC2A1/SPTBN2/VWF/STK24/ITM2B/PLXNB2/KLK13/DBNL/SLURP1/PSAPL1/ACTN4/ALDOA/DDX5/GAPDH/GM2A/SFN/GRN/HLA-B/PKM/RPLP2/RPS18/SMARCA4/UBC	0.674962860011025
CC for La Doncella skin	CC	GO:0030057	desmosome	13	0.802139396075614	2.4587989828425	0.00000170244328683725	0.000270877642972326	0.000270877642972326	90	tags=77%, list=11%, signal=69%	DSP/PPL/JUP/PERP/CDSN/PKP1/DSG1/DSC1/EVPL/PKP3	0.643551836150722
